,Book-Title,Book-Author,Image-URL-M,num_ratings,avg_ratings
0,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.852803738317757
3,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.8242894056847545
5,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.737410071942446
9,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.501440922190202
13,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.183453237410072
16,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.00711743772242
17,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.948369565217392
26,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.895652173913043
28,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.880769230769231
39,To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
47,The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.642538975501114
53,The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,4.551162790697674
55,The Catcher in the Rye,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.5456570155902005
62,The Lovely Bones: A Novel,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.468725868725869
63,1984,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,4.454225352112676
72,Prodigal Summer: A Novel,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,4.450592885375494
73,Neverwhere,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.449056603773585
78,The Secret Life of Bees,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.447028423772609
84,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,4.3568904593639575
85,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,4.354969574036511
88,The Red Tent (Bestselling Backlist),Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,4.334716459197787
89,The Hitchhiker's Guide to the Galaxy,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,268,4.3283582089552235
98,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.28955223880597
100,Into the Wild,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,4.273809523809524
103,Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,4.264058679706602
116,Girl with a Pearl Earring,Tracy Chevalier,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.218631178707224
117,Outlander,DIANA GABALDON,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg,283,4.173144876325089
123,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,4.105982905982906
124,Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.098181818181819
126,Life of Pi,Yann Martel,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.088855421686747
130,The Bean Trees,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.087403598971722
133,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,4.086792452830188
135,ANGELA'S ASHES,Frank McCourt,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,4.075268817204301
137,Good in Bed,Jennifer Weiner,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.055102040816327
139,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,4.037383177570093
140,American Gods,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.006622516556291
141,Skipping Christmas,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.0062111801242235
147,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,4.00314465408805
149,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4.0
157,The Color Purple,Alice Walker,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,314,3.964968152866242
163,Silence of the Lambs,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,3.9609375
166,About a Boy,Nick Hornby,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,3.900763358778626
173,Seven Up (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,3.8884892086330933
175,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,3.8759398496240602
177,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,3.825278810408922
182,Suzanne's Diary for Nicholas,James Patterson,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.8205689277899344
186,Lord of the Flies,William Gerald Golding,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,3.8185328185328187
192,A Prayer for Owen Meany,John Irving,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.7966101694915255
194,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,3.777408637873754
195,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,3.7724719101123596
